,S,Length
6160,soreness,8
6161,sorex,5
6162,sorgne,6
6163,sorghum,7
6164,sorgo,5
6165,sori,4
6166,soricine,8
6167,sorites,7
6168,soritical,9
6169,sorn,4
6170,sorner,6
6171,sororal,7
6172,sororicide,10
6173,sororize,8
6174,sorosis,7
6175,sorrage,7
6176,sorrance,8
6177,sorrel,6
6178,sorrily,7
6179,sorriness,9
6180,sorrow,6
6181,sorrowed,8
6182,sorrowing,9
6183,sorrowful,9
6184,sorrowless,10
6185,sorry,5
6186,sortes,6
6187,sors,4
6188,sort,4
6189,sorted,6
6190,sorting,7
6191,sortable,8
6192,sortably,8
6193,sortal,6
6194,sortance,8
6195,sorter,6
6196,sortie,6
6197,sortilege,9
6198,sortilegious,12
6199,sortilegy,9
6200,sortition,9
6201,sortment,8
6202,sorus,5
6203,sorwe,5
6204,sorweful,8
6205,sory,4
6206,soss,4
6207,sostenuto,9
6208,sot,3
6209,sotadean,8
6210,sotadic,7
6211,sote,4
6212,sotel,5
6213,sotil,5
6214,soteriology,11
6215,sothe,5
6216,sothiac,7
6217,sothic,6
6218,sotilte,7
6219,sotted,6
6220,sottery,7
6221,sottish,7
6222,sous,4
6223,sou,3
6224,soubah,6
6225,soubahdar,9
6226,soubrette,9
6227,soubriquet,10
6228,souce,5
6229,souchong,8
6230,soudan,6
6231,souded,6
6232,soudet,6
6233,souffle,7
6234,sough,5
6235,souke,5
6236,soul,4
6237,souled,6
6238,soulili,7
6239,soulless,8
6240,soullessly,10
6241,soun,4
6242,sound,5
6243,sounded,7
6244,sounding,8
6245,soundable,9
6246,soundage,8
6247,sounder,7
6248,soundless,9
6249,soundly,7
6250,soundness,9
6251,soune,5
6252,sounst,6
6253,soup,4
6254,souple,6
6255,soupy,5
6256,sour,4
6257,soured,6
6258,souring,7
6259,source,6
6260,sourcrout,9
6261,sourde,6
6262,sourish,7
6263,sourkrout,9
6264,sourly,6
6265,sourness,8
6266,sours,5
6267,soursop,7
6268,sourwood,8
6269,souse,5
6270,soused,6
6271,sousing,7
6272,souslik,7
6273,sout,4
6274,soutache,8
6275,soutage,7
6276,soutane,7
6277,souter,6
6278,souterly,8
6279,souterrain,10
6280,south,5
6281,southed,7
6282,southing,8
6283,southcottian,12
6284,southdown,9
6285,southeast,9
6286,southeaster,11
6287,southeastern,12
6288,southeastward,13
6289,southeastwardly,15
6290,souther,7
6291,southerliness,13
6292,southerly,9
6293,southern,8
6294,southerner,10
6295,southernliness,14
6296,southernly,10
6297,southernmost,12
6298,southernwood,12
6299,southly,7
6300,southmost,9
6301,southness,9
6302,southren,8
6303,southron,8
6304,southsay,8
6305,southsayer,10
6306,southward,9
6307,southwards,10
6308,southwardly,11
6309,southwest,9
6310,southwester,11
6311,southwesterly,13
6312,southwestern,12
6313,southwestward,13
6314,southwestwardly,15
6315,souvenance,10
6316,sovenaunce,10
6317,souvenir,8
6318,sovereign,9
6319,sovereignize,12
6320,sovereignly,11
6321,sovereignties,13
6322,sovereignty,11
6323,sovran,6
6324,sow,3
6325,sowed,5
6326,sown,4
6327,sowing,6
6328,sowans,6
6329,sowar,5
6330,sowbane,7
6331,sowce,5
6332,sowdan,6
6333,sowdanesse,10
6334,sowens,6
6335,sower,5
6336,sowins,6
6337,sowl,4
6338,sowle,5
6339,sowne,5
6340,sowse,5
6341,sowter,6
6342,soy,3
6343,soyle,5
6344,soyned,6
6345,sozzle,6
6346,spa,3
6347,spaad,5
6348,space,5
6349,spaced,6
6350,spacong,7
6351,spaceful,8
6352,spaceless,9
6353,spacial,7
6354,spacially,9
6355,spacious,8
6356,spadassin,9
6357,spaddle,7
6358,spade,5
6359,spaded,6
6360,spading,7
6361,spadebone,9
6362,spadefish,9
6363,spadefoot,9
6364,spadefuls,9
6365,spadeful,8
6366,spader,6
6367,spadiceous,10
6368,spadicose,9
6369,spadille,8
6370,spadices,8
6371,spadixes,8
6372,spadix,6
6373,spadones,8
6374,spado,5
6375,spadroon,8
6376,spaed,5
6377,spaeing,7
6378,spae,4
6379,spaeman,7
6380,spaewife,8
6381,spaghetti,9
6382,spagyric,8
6383,spagyrical,10
6384,spagyrist,9
6385,spahi,5
6386,spahee,6
6387,spaid,5
6388,spake,5
6389,spakenet,8
6390,spaky,5
6391,spale,5
6392,spall,5
6393,spalpeen,8
6394,spalt,5
6395,span,4
6396,spanned,7
6397,spanning,8
6398,spanaemia,9
6399,spanaemic,9
6400,spancel,7
6401,spanceled,9
6402,spancelled,10
6403,spanceling,10
6404,spancelling,11
6405,spandogs,8
6406,spandrel,8
6407,spane,5
6408,spang,5
6409,spangle,7
6410,spangled,8
6411,spangling,9
6412,spangler,8
6413,spangly,7
6414,spaniard,8
6415,spaniel,7
6416,spanish,7
6417,spanked,7
6418,spanking,8
6419,spank,5
6420,spanker,7
6421,spanless,8
6422,spanner,7
6423,spannishing,11
6424,spanpiece,9
6425,spanworm,8
6426,spar,4
6427,sparred,7
6428,sparring,8
6429,sparable,8
6430,sparada,7
6431,sparadrap,9
6432,sparage,7
6433,sparagus,8
6434,sparagrass,10
6435,sparble,7
6436,spared,6
6437,sparing,7
6438,spare,5
6439,spareful,8
6440,sparely,7
6441,spareless,9
6442,spareness,9
6443,sparer,6
6444,sparerib,8
6445,sparge,6
6446,spargefaction,13
6447,sparger,7
6448,sparhawk,8
6449,spark,5
6450,sparker,7
6451,sparkful,8
6452,sparkish,8
6453,sparkle,7
6454,sparkled,8
6455,sparkling,9
6456,sparkler,8
6457,sparklet,8
6458,sparkliness,11
6459,sparling,8
6460,sparlyre,8
6461,sparoid,7
6462,sparpiece,9
6463,sparpoil,8
6464,sparrow,7
6465,sparrowgrass,12
6466,sparrowwort,11
6467,sparry,6
6468,sparse,6
6469,sparsedly,9
6470,sparsely,8
6471,sparseness,10
6472,sparsim,7
6473,spartan,7
6474,sparteine,9
6475,parterie,8
6476,sparth,6
6477,sparve,6
6478,spary,5
6479,spasm,5
6480,spasmatical,11
6481,spasmodic,9
6482,spasmodical,11
6483,spastic,7
6484,spastically,11
6485,spasticity,10
6486,spat,4
6487,spatted,7
6488,spatting,8
6489,spatangoid,10
6490,spatangoidea,12
6491,spatangus,9
6492,spatchcock,10
6493,spate,5
6494,spathae,7
6495,spatha,6
6496,spathaceous,11
6497,spathal,7
6498,spathe,6
6499,spathed,7
6500,spathic,7
6501,spathiform,10
6502,spathose,8
6503,spathous,8
6504,spathulate,10
6505,spatial,7
6506,spatially,9
6507,spatiate,8
6508,spattered,9
6509,spattering,10
6510,spatter,7
6511,spatterdashed,13
6512,spatterdashes,13
6513,spattle,7
6514,spatula,7
6515,spatulate,9
6516,spauld,6
6517,spavin,6
6518,spavined,8
6519,spaw,4
6520,spawl,5
6521,spawled,7
6522,spawling,8
6523,spawned,7
6524,spawning,8
6525,spawn,5
6526,spawner,7
6527,spayed,6
6528,spaying,7
6529,spay,4
6530,spayad,6
6531,spayade,7
6532,spoke,5
6533,spoken,6
6534,speaking,8
6535,speak,5
6536,speakable,9
6537,speaker,7
6538,speakership,11
6539,speking,7
6540,spear,5
6541,speared,7
6542,spearing,8
6543,spearer,7
6544,spearfish,9
6545,spearhead,9
6546,spearmen,8
6547,spearman,8
6548,spearmint,9
6549,spearwood,9
6550,spearwort,9
6551,speary,6
6552,spece,5
6553,specht,6
6554,special,7
6555,specialism,10
6556,specialist,10
6557,specialities,12
6558,speciality,10
6559,specialization,14
6560,specialize,10
6561,specially,9
6562,specialties,11
6563,specialty,9
6564,specie,6
6565,species,7
6566,specifiable,11
6567,specific,8
6568,specifical,10
6569,specifically,12
6570,specificalness,14
6571,specificate,11
6572,specification,13
6573,soecificness,12
6574,specified,9
6575,specifying,10
6576,specify,7
6577,specollum,9
6578,specimen,8
6579,speciocities,12
6580,speciosity,10
6581,specious,8
6582,speck,5
6583,specked,7
6584,specking,8
6585,speckle,7
6586,speckled,8
6587,speckling,9
6588,speckledness,12
6589,specksioneer,12
6590,speckt,6
6591,spectacle,9
6592,spectacled,10
6593,spectacular,11
6594,spectant,8
6595,spectation,10
6596,spectator,9
6597,spectatorial,12
6598,spectatorship,13
6599,spectatress,11
6600,spectatrix,10
6601,specter,7
6602,spectre,7
6603,spectioneer,11
6604,spectral,8
6605,spectrally,10
6606,spectrological,14
6607,spectrology,11
6608,spectrometer,12
6609,spectrophotometer,17
6610,spectroscope,12
6611,spectroscopic,13
6612,spectroscopical,15
6613,spectroscopist,14
6614,spectroscopy,12
6615,spectra,7
6616,spectrum,8
6617,specular,8
6618,speculated,10
6619,speculating,11
6620,speculate,9
6621,speculation,11
6622,speculatist,11
6623,speculative,11
6624,speculator,10
6625,speculatorial,13
6626,speculatory,11
6627,speculist,9
6628,specula,7
6629,speculum,8
6630,sped,4
6631,speece,6
6632,speech,6
6633,speechful,9
6634,speechification,15
6635,speechifier,11
6636,speechified,11
6637,speechifying,12
6638,speechify,9
6639,speeching,9
6640,speechless,10
6641,speechmaker,11
6642,speed,5
6643,speeded,7
6644,speeding,8
6645,speeder,7
6646,speedful,8
6647,speedfully,10
6648,speedily,8
6649,speediness,10
6650,speedless,9
6651,speedwell,9
6652,speedy,6
6653,speer,5
6654,speet,5
6655,speight,7
6656,speir,5
6657,speiskobalt,11
6658,speiss,6
6659,spekboom,8
6660,speke,5
6661,spekehouse,10
6662,spelding,8
6663,spelicans,9
6664,spelk,5
6665,spell,5
6666,spelled,7
6667,spelling,8
6668,spelt,5
6669,spellable,9
6670,spellbound,10
6671,speller,7
6672,spellful,8
6673,spellken,8
6674,spellwork,9
6675,spelter,7
6676,spelunc,7
6677,spence,6
6678,spencer,7
6679,spent,5
6680,spending,8
6681,spend,5
6682,spender,7
6683,spendthrift,11
6684,spendthrifty,12
6685,spenserian,10
6686,sper,4
6687,sperre,6
6688,sperable,8
6689,sperage,7
6690,sperate,7
6691,spere,5
6692,sperge,6
6693,sperling,8
6694,sperm,5
6695,spermaceti,10
6696,spermalist,10
6697,spermaphore,11
6698,spermary,8
6699,spermathecae,12
6700,spermatheca,11
6701,spermatic,9
6702,spermatical,11
6703,spermatin,9
6704,spermatism,10
6705,spermatia,9
6706,spermatium,10
6707,spermatize,10
6708,spermatoblast,13
6709,spermatocyte,12
6710,spermatogemma,13
6711,spermatogenesis,15
6712,spermatogenetic,15
6713,spermatogenous,14
6714,spermatogonium,14
6715,spermatoid,10
6716,spermatoa,9
6717,spermatoon,10
6718,spermatophore,13
6719,spermatophorous,15
6720,spermatorrhea,13
6721,spermatorrhoea,14
6722,spermatospore,13
6723,spermatozoid,12
6724,spermatozooid,13
6725,spermatozoa,11
6726,spermatozoon,12
6727,spermic,7
6728,spermidia,9
6729,spermidium,10
6730,spermist,8
6731,spermoblast,11
6732,spermococcus,12
6733,spermoderm,10
6734,spermogonium,12
6735,spermologist,12
6736,spermophile,11
6737,spermophore,11
6738,spermophyta,11
6739,spermophyte,11
6740,spermophytic,12
6741,spermoplasma,12
6742,spermosphere,12
6743,spermospore,11
6744,spermule,8
6745,sperrylite,10
6746,sperse,6
6747,spessartite,11
6748,spet,4
6749,spetches,8
6750,spewed,6
6751,spewing,7
6752,spew,4
6753,spewer,6
6754,spewiness,9
6755,spewy,5
6756,sphacel,7
6757,sphacelated,11
6758,sphacelating,12
6759,spacelate,9
6760,sphacelate,10
6761,sphacelation,12
6762,sphacelus,9
6763,sphaerenchyma,13
6764,sphaeridia,10
6765,sphaeridium,11
6766,sphaerospore,12
6767,sphaerulite,11
6768,sphagnicolous,13
6769,sphagnous,9
6770,sphagnum,8
6771,sphalerite,10
6772,sphene,6
6773,sphenethmoid,12
6774,sphenethmoidal,14
6775,spheniscan,10
6776,sphenodon,9
6777,sphenoethmoidal,15
6778,sphenogram,10
6779,sphenographer,13
6780,sphenographic,13
6781,sphenographist,14
6782,sphenography,12
6783,sphenoid,8
6784,sphenoidal,10
6785,sphenotic,9
6786,spheral,7
6787,sphere,6
6788,sphered,7
6789,sphering,8
6790,spherical,9
6791,spheric,7
6792,sphericity,10
6793,sphericle,9
6794,spherics,8
6795,spherobacteria,14
6796,spheroconic,11
6797,spherograph,11
6798,spheroid,8
6799,spheroidal,10
6800,spheroidic,10
6801,spheroidical,12
6802,spheroidicity,13
6803,spheroidity,11
6804,spheromere,10
6805,spherometer,11
6806,spherosiderite,14
6807,spherosome,10
6808,spherulate,10
6809,spherule,8
6810,spherulite,10
6811,spherulitic,11
6812,sphery,6
6813,sphex,5
6814,sphigmometer,12
6815,sphincter,9
6816,sphingid,8
6817,sphinx,6
6818,sphragide,9
6819,sphragistics,12
6820,sphrigosis,10
6821,sphygmic,8
6822,sphygmogram,11
6823,sphygmograph,12
6824,sphygmographic,14
6825,sphygmometer,12
6826,sphygmophone,12
6827,sphygmoscope,12
6828,sphyraenoid,11
6829,spial,5
6830,spicae,6
6831,spica,5
6832,spicate,7
6833,spicated,8
6834,spiccato,8
6835,spice,5
6836,spiced,6
6837,spicing,7
6838,spicebush,9
6839,spicenut,8
6840,spicer,6
6841,spicery,7
6842,spicewood,9
6843,spiciferous,11
6844,spiciform,9
6845,spicily,7
6846,spiciness,9
6847,spick,5
6848,spicknel,8
6849,spicose,7
6850,spicosity,9
6851,spicous,7
6852,spiculae,8
6853,spicula,7
6854,spicular,8
6855,spiculate,9
6856,spicule,7
6857,spiculiform,11
6858,spiculigenous,13
6859,spiculispongiae,15
6860,spiculum,8
6861,spicy,5
6862,spider,6
6863,spidered,8
6864,spiderlike,10
6865,spiderwort,10
6866,spied,5
6867,spiegeleisen,12
6868,spight,6
6869,spignel,7
6870,spignet,7
6871,spigot,6
6872,spigurnel,9
6873,spike,5
6874,spiked,6
6875,spiking,7
6876,spikebill,9
6877,spikefish,9
6878,spikelet,8
6879,spikenard,9
6880,spiketail,9
6881,spiky,5
6882,spile,5
6883,spilikin,8
6884,spilikins,9
6885,spill,5
6886,spilt,5
6887,spilling,8
6888,spilled,7
6889,spiller,7
6890,spillikin,9
6891,spillway,8
6892,spilter,7
6893,spilth,6
6894,spun,4
6895,spinning,8
6896,spin,4
6897,spinaceous,10
6898,spinach,7
6899,spinage,7
6900,spinal,6
6901,spinate,7
6902,spindle,7
6903,spindled,8
6904,spindling,9
6905,spindlelegs,11
6906,spindleshanks,13
6907,spindletail,11
6908,spindleworm,11
6909,spine,5
6910,spineback,9
6911,spinebill,9
6912,spined,6
6913,spinel,6
6914,spinelle,8
6915,spineless,9
6916,spinescent,10
6917,spinet,6
6918,spinetail,9
6919,spineted,8
6920,spiniferous,11
6921,spiniform,9
6922,spinigerous,11
6923,spininess,9
6924,spink,5
6925,spinnaker,9
6926,spinner,7
6927,spinneret,9
6928,spinnerule,10
6929,spinneys,8
6930,spinney,7
6931,spinnies,8
6932,spinny,6
6933,spinose,7
6934,spinosity,9
6935,spinous,7
6936,spinozism,9
6937,spinozist,9
6938,spinster,8
6939,spinstress,10
6940,spinstry,8
6941,spinule,7
6942,spinulescent,12
6943,spinulose,9
6944,spinulous,9
6945,spiny,5
6946,spiodea,7
6947,spirable,8
6948,spiracle,8
6949,spiracular,10
6950,spiraea,7
6951,spiraeic,8
6952,spiral,6
6953,spirality,9
6954,spirally,8
6955,spiralozooid,12
6956,spirant,7
6957,spiranthy,9
6958,spiration,9
6959,spire,5
6960,spired,6
6961,spiring,7
6962,spiricle,8
6963,spirifer,8
6964,spirillum,9
6965,spirit,6
6966,spirited,8
6967,spiriting,9
6968,spiritally,10
6969,spiritful,9
6970,spiritism,9
6971,spiritist,9
6972,spiritless,10
6973,spiritoso,9
6974,spiritous,9
6975,spiritousness,13
6976,spiritual,9
6977,spiritualism,12
6978,spiritualist,12
6979,spiritualistic,14
6980,spiritualities,14
6981,spirituality,12
6982,spiritualization,16
6983,spiritualized,13
6984,spiritualizing,14
6985,spiritualize,12
6986,spiritualizer,13
6987,spiritually,11
6988,spiritualness,13
6989,spiritualty,11
6990,spiritielle,11
6991,spirituosity,12
6992,spirituous,10
6993,spirituousness,14
6994,spirketing,10
6995,spirling,8
6996,spirobacteria,13
6997,spirochaeta,11
6998,spirochaete,11
6999,spirograph,10
7000,spirometer,10
7001,spirometry,10
7002,spiroscope,10
7003,spiroylic,9
7004,spiroylous,10
7005,spirt,5
7006,spirtle,7
7007,spirula,7
7008,spirulate,9
7009,spiry,5
7010,spiss,5
7011,spissated,9
7012,spissitude,10
7013,spit,4
7014,spitted,7
7015,spitting,8
7016,spital,6
7017,spitalhouse,11
7018,spitball,8
7019,spitbox,7
7020,spitchcock,10
7021,spitchcocked,12
7022,spite,5
7023,spited,6
7024,spiting,7
7025,spiteful,8
7026,spitfire,8
7027,spitfuls,8
7028,spitful,7
7029,spitous,7
7030,spitously,9
7031,spitscocked,11
7032,spitter,7
7033,spittle,7
7034,spittly,7
7035,spittoon,8
7036,spitzenburgh,12
7037,splanchnapophyses,17
7038,splanchnapophysis,17
7039,splanchnic,10
7040,splanchnography,15
7041,splanchnology,13
7042,splanchnopleure,15
7043,splanchnotomy,13
7044,splandrel,9
7045,splashed,8
7046,splashing,9
7047,splash,6
7048,splashboard,11
7049,splasher,8
7050,splashy,7
7051,splatter,8
7052,splatterdash,12
7053,splay,5
7054,splayfeet,9
7055,splayfoot,9
7056,splayfooted,11
7057,splaymouths,11
7058,splaymouth,10
7059,splaymouthed,12
7060,spleen,6
7061,spleened,8
7062,spleenful,9
7063,spleenish,9
7064,spleenless,10
7065,spleenwort,10
7066,spleeny,7
7067,spleget,7
7068,splenalgia,10
7069,splenculi,9
7070,splenculus,10
7071,splendent,9
7072,splendid,8
7073,splendidious,12
7074,splendidly,10
7075,splendidness,12
7076,splendidous,11
7077,splendiferous,13
7078,splendor,8
7079,splendrous,10
7080,splendorous,11
7081,splenetic,9
7082,splenetical,11
7083,splenetically,13
7084,splenial,8
7085,splenic,7
7086,splenical,9
7087,splenish,8
7088,splenitis,9
7089,splenitive,10
7090,splenium,8
7091,splenius,8
7092,splenization,12
7093,splenocele,10
7094,splenography,12
7095,splenoid,8
7096,splenology,10
7097,splenotomy,10
7098,splent,6
7099,spleuchan,9
7100,spliced,7
7101,splicing,8
7102,splice,6
7103,spline,6
7104,splining,8
7105,splint,6
7106,splinted,8
7107,splinting,9
7108,splintered,10
7109,splintering,11
7110,splinter,8
7111,splinterproof,13
7112,splintery,9
7113,split,5
7114,splitted,8
7115,splitting,9
7116,splitfeet,9
7117,splitter,8
7118,splotch,7
7119,splotchy,8
7120,splurge,7
7121,spluttered,10
7122,spluttering,11
7123,splutter,8
7124,splutterer,10
7125,spodomancy,10
7126,spodomantic,11
7127,spodumene,9
7128,spoffish,8
7129,spoiled,7
7130,spoilt,6
7131,spoiling,8
7132,spoil,5
7133,spoilable,9
7134,spoiler,7
7135,spoilfive,9
7136,spoilful,8
7137,spoilsmen,9
7138,spoilsman,9
7139,spoilsmonger,12
7140,spoked,6
7141,spoking,7
7142,spokeshave,10
7143,spokesmen,9
7144,spokesman,9
7145,spoliated,9
7146,spoliating,10
7147,spoliate,8
7148,spoliation,10
7149,spoliative,10
7150,spoliator,9
7151,spoliatory,10
7152,spondaic,8
7153,spondaical,10
7154,spondee,7
7155,spondulics,10
7156,spondyl,7
7157,spondyle,8
7158,spong,5
7159,sponge,6
7160,sponged,7
7161,sponging,8
7162,spongelet,9
7163,spongeous,9
7164,sponger,7
7165,spongiae,8
7166,spongida,8
7167,spongiform,10
7168,spongilla,9
7169,spongin,7
7170,sponginess,10
7171,spongiole,9
7172,spongiolite,11
7173,spongiopilin,12
7174,spongiose,9
7175,spongious,9
7176,spongiozoa,10
7177,spongoblast,11
7178,spongoid,8
7179,spongy,6
7180,sponk,5
7181,sponsal,7
7182,sponsible,9
7183,sponsion,8
7184,sponsional,10
7185,sponson,7
7186,sponsor,7
7187,spnsorial,9
7188,sponsorship,11
7189,spontaneities,13
7190,spontaneity,11
7191,spontaneous,11
7192,spontoon,8
7193,spook,5
7194,spool,5
7195,spooled,7
7196,spooling,8
7197,spooler,7
7198,spoom,5
7199,spoon,5
7200,spoonbill,9
7201,spoondrift,10
7202,spooney,7
7203,spooneye,8
7204,spoonfuls,9
7205,spoonful,8
7206,spoonily,8
7207,spoonwood,9
7208,spoonworm,9
7209,spoonwort,9
7210,spoony,6
7211,spoor,5
7212,sporades,8
7213,sporadial,9
7214,sporadic,8
7215,sporadical,10
7216,sporadically,12
7217,sporangiophore,14
7218,sporangia,9
7219,sporangium,10
7220,spore,5
7221,sporid,6
7222,sporidiferous,13
7223,sporidia,8
7224,sporidium,9
7225,sporiferous,11
7226,sporification,13
7227,sporocarp,9
7228,sporocyst,9
7229,sporogenesis,12
7230,sporogony,9
7231,sporophore,10
7232,sporophoric,11
7233,sporosac,8
7234,sporozoa,8
7235,sporozoid,9
7236,sporran,7
7237,sport,5
7238,sported,7
7239,sporting,8
7240,sportability,12
7241,sportal,7
7242,sporter,7
7243,sportful,8
7244,sportingly,10
7245,sportive,8
7246,sportless,9
7247,sportling,9
7248,sportsmen,9
7249,sportsman,9
7250,sportsmanship,13
7251,sportulae,9
7252,sportula,8
7253,sportulary,10
7254,sportule,8
7255,sporulation,11
7256,sporule,7
7257,sporuliferous,13
7258,spot,4
7259,spotted,7
7260,spotting,8
7261,spotless,8
7262,spottedness,11
7263,spotter,7
7264,spottiness,10
7265,spotty,6
7266,spousage,8
7267,spousal,7
7268,spouse,6
7269,spouseless,10
7270,spousess,8
7271,spouted,7
7272,spouting,8
7273,spout,5
7274,spouter,7
7275,spoutfish,9
7276,spoutless,9
7277,spoutshell,10
7278,sprack,6
7279,sprad,5
7280,spradde,7
7281,sprag,5
7282,spragged,8
7283,spragging,9
7284,sprained,8
7285,spraining,9
7286,sprain,6
7287,spraints,8
7288,sprang,6
7289,sprat,5
7290,sprawled,8
7291,sprawling,9
7292,sprawl,6
7293,srawls,6
7294,spray,5
7295,sprayboard,10
7296,spread,6
7297,spreading,9
7298,spreader,8
7299,spreadingly,11
7300,sprechery,9
7301,spree,5
7302,sprenge,7
7303,sprent,6
7304,sprew,5
7305,spreynd,7
7306,sprig,5
7307,sprigged,8
7308,sprigging,9
7309,spriggy,7
7310,spright,7
7311,sprightful,10
7312,sprightless,11
7313,sprightliness,13
7314,sprightly,9
7315,sprigtail,9
7316,sprung,6
7317,springing,9
7318,spring,6
7319,springal,8
7320,springald,9
7321,springall,9
7322,springboard,11
7323,springbok,9
7324,springbuck,10
7325,springe,7
7326,springer,8
7327,springhalt,10
7328,springhead,10
7329,springiness,11
7330,springle,8
7331,springlet,9
7332,springtail,10
7333,springtide,10
7334,springtime,10
7335,springy,7
7336,sprinkled,9
7337,sprinkling,10
7338,sprinkle,8
7339,sprinkler,9
7340,sprinted,8
7341,sprinting,9
7342,sprint,6
7343,sprinter,8
7344,sprit,5
7345,sprite,6
7346,spriteful,9
7347,spritefully,11
7348,spriteliness,12
7349,spritely,8
7350,spritsail,9
7351,sprod,5
7352,sprong,6
7353,sprouted,8
7354,sprouting,9
7355,sprout,6
7356,spruce,6
7357,spruced,7
7358,sprucing,8
7359,sprue,5
7360,sprug,5
7361,sprunt,6
7362,spruntly,8
7363,spry,4
7364,spud,4
7365,spue,4
7366,spuilzie,8
7367,spuke,5
7368,spuller,7
7369,spulzie,7
7370,spume,5
7371,spumed,6
7372,spuming,7
7373,spumeous,8
7374,spumescence,11
7375,spumescent,10
7376,spumid,6
7377,spumiferous,11
7378,spuminess,9
7379,spumous,7
7380,spumy,5
7381,spunge,6
7382,spunk,5
7383,spunky,6
7384,spur,4
7385,spurred,7
7386,spurring,8
7387,spurgall,8
7388,spurge,6
7389,spurgewort,10
7390,spurging,8
7391,spurious,8
7392,spurless,8
7393,spurling,8
7394,spurned,7
7395,spurning,8
7396,spurn,5
7397,spurner,7
7398,spurrer,7
7399,spurrey,7
7400,spurrier,8
7401,spurry,6
7402,spurt,5
7403,sourt,5
7404,spurted,7
7405,spurting,8
7406,spurtle,7
7407,spurway,7
7408,sput,4
7409,sputation,9
7410,sputative,9
7411,spute,5
7412,sputtered,9
7413,sputtering,10
7414,sputter,7
7415,sputterer,9
7416,sputa,5
7417,sputum,6
7418,spying,6
7419,spy,3
7420,spies,5
7421,spyboat,7
7422,spyglass,8
7423,spyism,6
7424,spynace,7
7425,spyne,5
7426,squab,5
7427,squabash,8
7428,squabbish,9
7429,squabbled,9
7430,squabbling,10
7431,squabble,8
7432,squabbler,9
7433,squabby,7
7434,squaccos,8
7435,squacco,7
7436,squad,5
7437,squadron,8
7438,squadroned,10
7439,squail,6
7440,squaimous,9
7441,squali,6
7442,squalid,7
7443,squalidity,10
7444,squalidly,9
7445,squalidness,11
7446,squall,6
7447,squalled,8
7448,squalling,9
7449,squaller,8
7450,squally,7
7451,squalodon,9
7452,squalodont,10
7453,squaloid,8
7454,squalor,7
7455,squamae,7
7456,squama,6
7457,squamaceous,11
7458,squamata,8
7459,squamate,8
7460,squamated,9
7461,squamduck,9
7462,squame,6
7463,squamellae,10
7464,squamella,9
7465,squamellate,11
7466,squamiform,10
7467,squamigerous,12
7468,squamipennes,12
7469,squamipen,9
7470,squamoid,8
7471,squamosal,9
7472,squamose,8
7473,squamous,8
7474,squamozygomatic,15
7475,squamulae,9
7476,squamula,8
7477,squamulate,10
7478,squamule,8
7479,squamulose,10
7480,squandered,10
7481,squandering,11
7482,squander,8
7483,squanderer,10
7484,squanderingly,13
7485,square,6
7486,squared,7
7487,squaring,8
7488,squarely,8
7489,squareness,10
7490,squarer,7
7491,squarish,8
7492,squarrose,9
7493,squarrous,9
7494,squarrulose,11
7495,squash,6
7496,squashed,8
7497,squashing,9
7498,squasher,8
7499,squashiness,11
7500,squashy,7
7501,squat,5
7502,squatted,8
7503,squatting,9
7504,squaterole,10
7505,squatter,8
7506,squatty,7
7507,squaw,5
7508,squawberry,10
7509,squawked,8
7510,squawking,9
7511,squawk,6
7512,squawl,6
7513,squawroot,9
7514,squawweed,9
7515,squaked,7
7516,squeaking,9
7517,squeak,6
7518,squeaker,8
7519,squeakingly,11
7520,squealed,8
7521,squealing,9
7522,squeal,6
7523,squealer,8
7524,squeamish,9
7525,squeamous,9
7526,squeasiness,11
7527,squesy,6
7528,squeegee,8
7529,squeezed,8
7530,squeezing,9
7531,squeeze,7
7532,squeezer,8
7533,squelched,9
7534,squelching,10
7535,squelch,7
7536,squeteague,10
7537,squib,5
7538,squibbed,8
7539,squibbing,9
7540,squid,5
7541,squier,6
7542,squierie,8
7543,squiery,7
7544,squiggle,8
7545,squilgee,8
7546,squill,6
7547,squillas,8
7548,squillae,8
7549,squilla,7
7550,squillitic,10
7551,squinance,9
7552,squinancy,9
7553,squinch,7
7554,squinsy,7
7555,squint,6
7556,squinted,8
7557,squinting,9
7558,squinter,8
7559,squintifego,11
7560,squiny,6
7561,squinzey,8
7562,souir,5
7563,squiralty,9
7564,squirarch,9
7565,squirarchy,10
7566,squire,6
7567,squired,7
7568,squiring,8
7569,squireen,8
7570,squirehood,10
7571,squireling,10
7572,squirely,8
7573,squireship,10
7574,squirmed,8
7575,squirming,9
7576,squirm,6
7577,squirr,6
7578,squirrel,8
7579,squirted,8
7580,squirting,9
7581,squirt,6
7582,squirter,8
7583,squiry,6
7584,squitee,7
7585,stabbed,7
7586,stabbing,8
7587,stab,4
7588,stabber,7
7589,stabbingly,10
7590,stabiliment,11
7591,stabilitate,11
7592,stability,9
7593,stable,6
7594,stabled,7
7595,stabling,8
7596,stableboy,9
7597,stableman,9
7598,stableness,10
7599,stabler,7
7600,stablish,8
7601,stablishment,12
7602,stably,6
7603,stabulation,11
7604,staccato,8
7605,stack,5
7606,stacked,7
7607,stacking,8
7608,stackage,8
7609,stacket,7
7610,stackstand,10
7611,stackyard,9
7612,stacte,6
7613,staddle,7
7614,stade,5
7615,stadimeter,10
7616,stadia,6
7617,stadium,7
